taxonID	identifier	datasetID	datasetName	acceptedNameUsageID	parentNameUsageID	taxonomicStatus	taxonRank	verbatimTaxonRank	scientificName	kingdom	phylum	class	order	superfamily	family	genericName	genus	subgenus	specificEpithet	infraspecificEpithet	scientificNameAuthorship	source	namePublishedIn	nameAccordingTo	modified	description	taxonConceptID	scientificNameID	references	isExtinct
54134298	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115256	NA	synonym	species	NA	Microgonium ekmanii (Wess. Boer) Pic. Serm.	Plantae	NA	NA	NA	NA	NA	Microgonium	Didymoglossum	NA	ekmanii	NA	(Wess. Boer) Pic. Serm.	NA	NA	NA	NA	NA	NA	ferns-2086-syn-2	http://www.catalogueoflife.org/col/details/species/id/292a12f9fb8093cf3d4e4e0fec18fba7/synonym/72313ef9982c42f21d68ffe09e9f640a	NA
54115256	292a12f9fb8093cf3d4e4e0fec18fba7	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	NA	54858688	accepted name	species	NA	Didymoglossum ekmanii (Wess. Boer) Ebihara & Dubuisson	Plantae	Tracheophyta	Polypodiopsida	Hymenophyllales	NA	Hymenophyllaceae	Didymoglossum	Didymoglossum	NA	ekmanii	NA	(Wess. Boer) Ebihara & Dubuisson	NA	NA	Hassler M.	Nov 2018	NA	NA	ferns-2086	http://www.catalogueoflife.org/col/details/species/id/292a12f9fb8093cf3d4e4e0fec18fba7	FALSE
54134299	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115257	NA	synonym	species	NA	Crepidomanes erosum (Willd.) G. Kunkel	Plantae	NA	NA	NA	NA	NA	Crepidomanes	Didymoglossum	NA	erosum	NA	(Willd.) G. Kunkel	NA	NA	NA	NA	NA	NA	ferns-2087-syn-1	http://www.catalogueoflife.org/col/details/species/id/0dd82df88aa05e361b312af0eeda82f0/synonym/1cd95ad9cd73152ed0ad2d66f50068c7	NA
54134300	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115257	NA	synonym	infraspecies	f.	Crepidomanes erosum f. minus (Taton) G. Kunkel	Plantae	NA	NA	NA	NA	NA	Crepidomanes	Didymoglossum	NA	erosum	minus	(Taton) G. Kunkel	NA	NA	NA	NA	NA	NA	ferns-2087-syn-2	http://www.catalogueoflife.org/col/details/species/id/0dd82df88aa05e361b312af0eeda82f0/synonym/6e581993df9ec0e8b0238d12b2850750	NA
54134301	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115257	NA	synonym	species	NA	Didymoglossum erosum (Willd.) J. P. Roux	Plantae	NA	NA	NA	NA	NA	Didymoglossum	Didymoglossum	NA	erosum	NA	(Willd.) J. P. Roux	NA	NA	NA	NA	NA	NA	ferns-2087-syn-3	http://www.catalogueoflife.org/col/details/species/id/0dd82df88aa05e361b312af0eeda82f0/synonym/8f35892db26f1ee1c52c6d0d0902c904	NA
54134302	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115257	NA	synonym	species	NA	Microgonium aerugineum (V. D. Bosch) Pic. Serm.	Plantae	NA	NA	NA	NA	NA	Microgonium	Didymoglossum	NA	aerugineum	NA	(v. d. Bosch) Pic. Serm.	NA	NA	NA	NA	NA	NA	ferns-2087-syn-4	http://www.catalogueoflife.org/col/details/species/id/0dd82df88aa05e361b312af0eeda82f0/synonym/1b0327da14e1ec63ab026f2f9a64594b	NA
54134303	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115257	NA	synonym	species	NA	Microgonium erosum Presl	Plantae	NA	NA	NA	NA	NA	Microgonium	Didymoglossum	NA	erosum	NA	Presl	NA	NA	NA	NA	NA	NA	ferns-2087-syn-5	http://www.catalogueoflife.org/col/details/species/id/0dd82df88aa05e361b312af0eeda82f0/synonym/a01b39582c88bf254b09d1b59aec52fd	NA
54134304	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115257	NA	synonym	species	NA	Trichomanes aerugineum V. D. Bosch	Plantae	NA	NA	NA	NA	NA	Trichomanes	Didymoglossum	NA	aerugineum	NA	v. d. Bosch	NA	NA	NA	NA	NA	NA	ferns-2087-syn-6	http://www.catalogueoflife.org/col/details/species/id/0dd82df88aa05e361b312af0eeda82f0/synonym/900c4ce3ebdbf749a2ecd1ea3aa07586	NA
54134305	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115257	NA	synonym	infraspecies	f.	Trichomanes erosum f. minus Taton	Plantae	NA	NA	NA	NA	NA	Trichomanes	Didymoglossum	NA	erosum	minus	Taton	NA	NA	NA	NA	NA	NA	ferns-2087-syn-7	http://www.catalogueoflife.org/col/details/species/id/0dd82df88aa05e361b312af0eeda82f0/synonym/fa325c62c4d125413e8b23d3866234a8	NA
54134306	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115257	NA	synonym	infraspecies	var.	Trichomanes erosum var. aerugineum (V. D. Bosch) Bonap.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Didymoglossum	NA	erosum	aerugineum	(V. D. Bosch) Bonap.	NA	NA	NA	NA	NA	NA	ferns-2087-syn-8	http://www.catalogueoflife.org/col/details/species/id/0dd82df88aa05e361b312af0eeda82f0/synonym/481ccb40e6dcf746f9a1da9c42106dde	NA
54134307	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115257	NA	synonym	infraspecies	var.	Trichomanes erosum var. laciniatum Mett. ex Peter	Plantae	NA	NA	NA	NA	NA	Trichomanes	Didymoglossum	NA	erosum	laciniatum	Mett. ex Peter	NA	NA	NA	NA	NA	NA	ferns-2087-syn-9	http://www.catalogueoflife.org/col/details/species/id/0dd82df88aa05e361b312af0eeda82f0/synonym/3d340d0bac6c3a3a18fc070dc8c2f985	NA
54134308	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115257	NA	synonym	species	NA	Trichomanes erosum Willd.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Didymoglossum	NA	erosum	NA	Willd.	NA	NA	NA	NA	NA	NA	ferns-2087-syn-10	http://www.catalogueoflife.org/col/details/species/id/0dd82df88aa05e361b312af0eeda82f0/synonym/f0a67d2a087a684ba7d99f8bdc3aae4a	NA
54134309	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115257	NA	ambiguous synonym	infraspecies	var.	Trichomanes hookeri var. cordifolium (Fée) Bonap.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Didymoglossum	NA	hookeri	cordifolium	(Fée) Bonap.	NA	NA	NA	NA	NA	NA	ferns-2087-syn-11	http://www.catalogueoflife.org/col/details/species/id/0dd82df88aa05e361b312af0eeda82f0/synonym/12f2f5248d2971459235d751d7e68194	NA
54134310	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115257	NA	synonym	species	NA	Trichomanes palmicola V. D. Bosch	Plantae	NA	NA	NA	NA	NA	Trichomanes	Didymoglossum	NA	palmicola	NA	v. d. Bosch	NA	NA	NA	NA	NA	NA	ferns-2087-syn-12	http://www.catalogueoflife.org/col/details/species/id/0dd82df88aa05e361b312af0eeda82f0/synonym/b744b8a59a2ede13533ed799d10b3695	NA
